Package;Description;Keywords;Type
ZipRadius;Creates a Data Frame of US Zip Codes in a Given Radius from a Given US Zip Code;maps;
loon.data;Data Used to Illustrate 'Loon' Functionality;package;static
AER;Applied Econometrics with R;textbook;static
BayesDA;Functions and Datasets for the book "Bayesian Data Analysis";textbook;static
carData;Companion to Applied Regression Data Sets;textbook;static
dobson;Data from the GLM Book by Dobson and Barnett;textbook;static
emdbook;Support Functions and Data for "Ecological Models and Data";textbook;static
ensemblepp;Ensemble Postprocessing Data Sets;textbook;static
Fahrmeir;Data from the Book "Multivariate Statistical Modelling Based on Generalized Linear Models", First Edition, by Ludwig Fahrmeir and Gerhard Tutz;textbook;static
fma;Data Sets from "Forecasting: Methods and Applications" by Makridakis, Wheelwright & Hyndman (1998);textbook;static
fpp;Data for "Forecasting: principles and practice";textbook;static
fpp2;Data for "Forecasting: Principles and Practice" (2nd Ed);textbook;static
funModeling;Exploratory Data Analysis and Data Preparation Tool-Box Book;textbook;static
gamair;Data for 'GAMs: An Introduction with R';textbook;static
GDAdata;Datasets for the Book Graphical Data Analysis with R;textbook;static
GLMsData;Generalized Linear Model Data Sets;textbook;static
gpk;100 Data Sets for Statistics Education;textbook;static
IAcsSPCR;Data and Functions for "An Intro. to Accept. Samp. & SPC/R";textbook;static
IIS;Datasets to Accompany Wolfe and Schneider - Intuitive Introductory Statistics;textbook;static
lmreg;Data and Functions Used in Linear Models and Regression with R: An Integrated Approach;textbook;static
longmemo;Statistics for Long-Memory Processes (Book Jan Beran), and Related Functionality;textbook;static
lsr;Companion to "Learning Statistics with R";textbook;static
mdsr;Complement to 'Modern Data Science with R';textbook;static
MindOnStats;Data sets included in Utts and Heckard's Mind on Statistics;textbook;static
moonBook;Functions and Datasets for the Book by Keon-Woong Moon;textbook;static
NMOF;Numerical Methods and Optimization in Finance;textbook;static
NSM3;Functions and Datasets to Accompany Hollander, Wolfe, and Chicken - Nonparametric Statistical Methods, Third Edition;textbook;static
pder;Panel Data Econometrics with R;textbook;static
poliscidata;Datasets and Functions Featured in Pollock and Edwards R Companion to Essential of Political Analysis;textbook;static
rfordummies;Code Examples to Accompany the Book "R for Dummies";textbook;static
SMPracticals;Practicals for use with Davison (2003) Statistical Models;textbook;static
Sleuth3;Data Sets from Ramsey and Schafer's "Statistical Sleuth (3rd Ed)";textbook;static
TSA;Time Series Analysis;textbook;static
wooldridge;105 Data Sets from "Introductory Econometrics: A Modern Approach" by Jeffrey M. Wooldridge;textbook;static
yarrr;A Companion to the e-Book "YaRrr!: The Pirate's Guide to R";textbook;static
fulltext;Full Text of 'Scholarly' Articles Across Many Data Sources;text;static
dslabs;Data Science Labs;teaching;
agriTutorial;Tutorial Analysis of Some Agricultural Experiments;;static
eechidna;Exploring Election and Census Highly Informative Data Nationally for Australia;;static
engsoccerdata;English and European Soccer Results 1871-2016;sports;static
charlatan;Make Fake Data;;simulate
conjurer;A Parametric Method for Generating Synthetic Data;;simulate
fabricatr;Imagine Your Data Before You Collect It;;simulate
fakeR;Simulates Data from a Data Frame of Different Variable Types;;simulate
rTableICC;Random Generation of Contingency Tables;;simulate
wakefield;Generate Random Data Sets;;simulate
isdparser;Parse 'NOAA' Integrated Surface Data Files;manage;
readtext;Import and Handling for Plain and Formatted Text Files;manage;
trekfont;Star Trek Fonts Collection;fonts;
